DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.590875	59	0	3	1	6	1	1	0	868	2	0	4.16954	0	0
UL	0.590982	59	0	3	7	6	1	1	0	1140	3	0	3.98272 	0	0
DL	0.591125	59	1	0	1	6	1	1	0	868	2	0	3.88412	0	0
UL	0.591232	59	1	0	7	6	1	1	0	1373	4	0	3.72164 	0	0.0315472
DL	0.591375	59	1	1	1	6	1	1	0	1373	4	0	3.76556	0	0.0315472
UL	0.591482	59	1	1	7	6	1	1	0	1373	4	0	3.73604 	0	0.0315472
DL	0.591625	59	1	2	1	6	1	1	0	1373	4	0	3.80899	0	0.0315472
UL	0.591732	59	1	2	7	6	1	1	0	1373	4	0	3.814 	0	0.0315472
DL	0.591875	59	1	3	1	6	1	1	0	868	2	0	3.66823	0	0
UL	0.591982	59	1	3	7	6	1	1	0	1140	3	0	3.4383 	0	0
DL	0.592125	59	2	0	1	6	1	1	0	868	2	0	3.58427	0	0
UL	0.592232	59	2	0	7	6	1	1	0	1140	3	0	3.57954 	0	0
DL	0.592375	59	2	1	1	6	1	1	0	868	2	0	3.51093	0	0
UL	0.592482	59	2	1	7	6	1	1	0	1140	3	0	3.47976 	0	0
DL	0.592625	59	2	2	1	6	1	1	0	868	2	0	3.70326	0	0
UL	0.592732	59	2	2	7	6	1	1	0	1140	3	0	3.63637 	0	0
DL	0.592875	59	2	3	1	6	1	1	0	868	2	0	3.73346	0	0
UL	0.592982	59	2	3	7	6	1	1	0	1140	3	0	3.79107 	0	0
DL	0.593125	59	3	0	1	6	1	1	0	868	2	0	3.8123	0	0
UL	0.593232	59	3	0	7	6	1	1	0	1140	3	0	3.87765 	0	0
DL	0.593375	59	3	1	1	6	1	1	0	868	2	0	4.01004	0	0
UL	0.593482	59	3	1	7	6	1	1	0	1140	3	0	3.89634 	0	0
DL	0.593625	59	3	2	1	6	1	1	0	868	2	0	4.07006	0	0
